"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X8A9MANL","journalArticle","2025","Göçer, V; Özeren, E","Exploring the effects of curiosity and anxiety on Mathematics teaching efficacy beliefs in primary school teachers","BMC PSYCHOLOGY","","2050-7283","10.1186/s40359-025-02940-5","","Backround In the mathematics education literature, there is a limited number of comprehensive studies that examine the dynamic relationship between teacher efficacy beliefs and psychological variables such as curiosity and anxiety within the context of primary education. However, these variables have a wide sphere of influence, extending from instructional quality to student achievement, and they interactively shape teacher behaviors. Therefore, investigating the impact of primary teachers' mathematical curiosity and teaching anxiety on their beliefs about mathematics teaching efficacy emerges as a necessity for supporting professional development, restructuring teacher education programs more effectively, and contributing to the improvement of mathematics instruction. In line with this need, the present study aims to reveal the relationship between primary school teachers' beliefs about their mathematics teaching efficacy, their mathematical curiosity, and their mathematics teaching anxiety. Moreover, the study seeks to determine the influence of the psychological variables-curiosity and anxiety-on mathematics teaching efficacy beliefs within the context of mathematics instruction.<br /> Method The research, which was designed according to a cross-sectional research model, was conducted in accordance with the relational survey model, one of the quantitative research approaches. The research focuses on primary school teachers working in primary schools in a medium-sized city in the eastern region of T & uuml;rkiye in 2024. The sample consists of 893 primary teachers, selected from the population through a disproportionate cluster sampling method. Among the teachers in the study sample, 43.6% were female and 56.4% were male; 65.5% held a bachelor's degree, while 34.5% had completed graduate education. In terms of professional seniority, 31.9% had 1-5 years of experience, 27.8% had 6-10 years, 14.9% had 11-15 years, 15.6% had 16-20 years, and 9.8% had 21 years or more of teaching experience. Data were collected using four instruments: a ""Personal Information Form,"" the ""Mathematical Curiosity Scale,"" the ""Primary Teachers' Mathematics Teaching Anxiety Scale,"" and the ""Mathematics Teaching Efficacy Belief Scale."" Since the overall Cronbach's alpha coefficients of the scales used in the study were greater than alpha > .70, the scale data were considered to be reliable. Since the research data met the normality criteria, inferential statistical methods such as Independent Samples t-Test, One-Way ANOVA, Pearson Correlation, and Multiple Linear Regression Analysis were used.<br /> Results The study revealed significant differences in primary school teachers' mathematics teaching efficacy beliefs, mathematical curiosity, and mathematics teaching anxiety based on gender, educational background, and professional seniority (p. < 05). Male teachers, those with postgraduate education, and more experienced teachers demonstrated higher levels of efficacy beliefs and curiosity, alongside lower levels of mathematics teaching anxiety. The findings reveal that primary teachers' beliefs about their mathematics teaching efficacy are significantly related to their mathematical curiosity and teaching anxiety (p < .01; .30 < r < .70). Moreover, the predictors-mathematical curiosity and teaching anxiety-were found to have a significant impact on teaching efficacy beliefs (Corrected R2 = .475; p < .05). Furthermore, the study found that low levels of mathematics teaching anxiety have a positive effect on mathematics teaching efficacy beliefs, which is an unexpected result.<br /> Conclusions In conclusion, it has been determined that emotional states such as curiosity and anxiety are significant predictors of elementary school teachers' mathematics teaching efficacy beliefs. These results offer important insights for educational stakeholders regarding primary teachers' beliefs about mathematics teaching efficacy, their mathematical curiosity, and their mathematics teaching anxiety. The results indicate that teachers' efficacy beliefs are significantly related to, and potentially shaped by, the variables of curiosity and anxiety. Identifying mathematics teaching efficacy beliefs in the context of teacher development and their influence on learning environments can enable targeted support for teachers with low self-efficacy through various teacher training instruments. Moreover, such interventions may help prevent teachers from beginning and ending their lessons with diminished confidence and motivation.","2025-07-01","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","1","13","","","","","","","","","","","","","","WOS:001522899700042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZAEFXPW","journalArticle","2026","Wahl, HN; Donolato, E; Melby-Lervåg, M; Lervåg, A","The psychometric properties of two math anxiety scales in a sample of Norwegian primary school children","SCANDINAVIAN JOURNAL OF EDUCATIONAL RESEARCH","","0031-3831","10.1080/00313831.2025.2459906","","This study evaluated the psychometric properties of the Abbreviated Math Anxiety Scale (AMAS) and the Achievement Emotion Questionnaire - Math Anxiety (AEQ-MA) in a sample of Norwegian primary school students invited to participate during preschool. A total of 222 children completed both scales, and math tasks in Grade 3 and they followed up on the same questionnaires and math tests in Grade 4. Confirmatory factor analysis showed that a two-factor solution best suited the data for both self-report tools, with the AMAS defined by learning anxiety and testing anxiety dimensions and the AEQ-MA defined by the test-related and the class-and-learning math anxiety factors. Both questionnaires showed good internal consistency, measurement invariance across grade levels and genders, and concurrent validity with math tasks. In conclusion, the AMAS and the AEQ-MA present good psychometric properties and are suitable measures for assessing math anxiety in the first grades of formal education among Norwegian children.","2026-01-02","2026-03-20 23:53:30","2026-03-20 23:53:30","","147-163","","1","70","","","","","","","","","","","","","","WOS:001425434300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C25C4EJ9","journalArticle","2026","Berd-Gómez, R; González-Martín, AM; Santos, FH","Unveiling the anxiety about teaching math in Spain: A psychometric study of MAST15 and MTAS19 instruments","ACTA PSYCHOLOGICA","","0001-6918","10.1016/j.actpsy.2026.106306","","Teacher math anxiety is a significant factor influencing instructional quality and student achievement. Yet, few studies have explored which variables play a role in the levels of anxiety about teaching math, in part due to the lack of proper screening tools. In this study, we adapted two specialized instruments, the Math Anxiety Scale for Teachers (MAST15) and the Mathematics Teaching Anxiety Scale (MTAS19), to the European Spanish, and we examined their structural, convergent, and external validity within a sample of Spanish primary and secondary school teachers. Furthermore, we explored gender differences, school settings, teachers' self-efficacy and generalized anxiety symptoms to understand how those variables interact with the anxiety about teaching math. We conducted confirmatory factor analysis and reliability tests to evaluate the internal structure of both scales. MAST15 confirmed a two-factor model (general math anxiety and anxiety about teaching math), while MTAS19 demonstrated moderate fit across two dimensions (student-directed and self-directed teaching anxiety). Both scales showed high internal consistency, indicating robust reliability. The results revealed that math anxiety is closely linked to generalized anxiety and inversely related to math self-efficacy. Teaching experience was associated with lower self-directed anxiety, suggesting that professional practice helps mitigate anxiety over time. Gender differences emerged for generalized anxiety but not for math-specific anxiety. Institutional and contextual factors, such as location in disadvantaged areas, showed no significant impact on math anxiety levels. These findings support using MAST15 and MTAS19 in cross-cultural research and provide insights into targeted interventions to reduce anxiety about teaching math.","2026-03","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","","263","","","","","","","","","","","","","","WOS:001684023900001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9PWC28X","journalArticle","2025","Shawahna, R","Academic and psychological determinants of drug-calculation competence among nursing students in Palestine: a cross- sectional study","JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS","","1975-5937","10.3352/jeehp.2025.22.39","","Purpose: This study aimed to assess the drug-calculation skills of Palestinian nursing students and to identify academic and psychological factors influencing their performance. Methods: A cross-sectional study was conducted among 562 nursing students in their third and fourth academic years across multiple accredited nursing schools. Data were collected using a structured questionnaire that included demographic and academic variables, prior training in drug calculations, self-rated knowledge and confidence, the Abbreviated Math Anxiety Scale, the General Self-Efficacy Scale, and 15 scenario-based drug-calculation items. Results: The mean drug-calculation score was 79.8%+/- 11.0% (95% confidence interval, 78.9-80.7). Female students achieved significantly higher scores than male students (B=2.20, standard error [SE]=0.24, P<0.001). Grade point average was strongly associated with performance (B=7.19, SE=0.19, P<0.001). Self-rated mathematical ability emerged as the most influential predictor (B=5.87, SE=0.08, P<0.001). Prior exposure to dedicated training in drug calculations contributed positively to performance (B=4.58, SE=0.23, P<0.001), as did self-rated confidence in drug preparation (B=1.99, SE=0.10, P<0.001). Math anxiety was inversely associated with performance (B=-0.36, SE=0.03, P<0.001), whereas general self-efficacy showed a positive association (B=0.94, SE=0.03, P<0.001). Conclusion: Drug-calculation competence among Palestinian nursing students is shaped by academic achievement, training, confidence, math anxiety, and self-efficacy. Curricular strategies that integrate structured training, reduce math anxiety, and foster self-efficacy are essential for preparing nurses to administer medications safely.","2025-12-29","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","","22","","","","","","","","","","","","","","WOS:001693481400001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHUW22AY","journalArticle","2025","Ibrahim, H; Kamarulzaman, W; Ismail, H; Sani, NSAM","THE RELATIONSHIP BETWEEN MATHEMATICS ATTITUDE AND CREATIVE THINKING AMONG SECONDARY STUDENTS","JOURNAL OF NUSANTARA STUDIES-JONUS","","0127-9319","10.24200/jonus.vol10iss2pp512-540","","Background and Purpose: This study aims to examine the levels of mathematics attitudes and creative thinking among Malaysian secondary school students and to explore the relationship between these two factors. The goal is to provide valuable insights and recommendations to enhance the overall quality of mathematics education in Malaysia. Methodology: A quantitative research design was adopted, using a survey as the primary method of data collection. Data were collected from 531 secondary school students in Selangor and Kuala Lumpur through a validated instrument that is Mathematics Attitude and Creative Thinking Scale (MACTS). Descriptive and inferential statistical analyses were conducted using SPSS. Findings: The findings indicate that the overall levels of mathematics attitude (M = 3.26, SD = 0.71) and creative thinking (M = 3.28, SD = 0.69) among Malaysian secondary school students were at a middle high level. Additionally, the study revealed a significant positive correlation (r = 0.70, p < 0.001) between students' attitudes toward mathematics and their creative thinking skills. Contributions: This study provides significant contributions to both theory and practice in mathematics education. Theoretically, it enriches the existing literature by exploring the relationship between mathematics attitudes and creative thinking skills within the Malaysian secondary school context. Practically, it provides valuable information for teachers, curriculum developers, and policymakers.","2025","2026-03-20 23:53:30","2026-03-20 23:53:30","","512-540","","2","10","","","","","","","","","","","","","","WOS:001549912500022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X34QW7ZW","journalArticle","2026","Davey, R; Bellen, L; Thai, T; Kearney, S","Shifts in children's mathematical identities during the first year of school","MATHEMATICS EDUCATION RESEARCH JOURNAL","","1033-2170","10.1007/s13394-025-00523-6","","This article outlines an investigation of the mathematical beliefs of kindergarten students in Australia, examining gendered differences in their perceptions of mathematical abilities and attitudes over their first year of formal education. Researchers asked the question, How do boys and girls describe their mathematical capabilities and relationship with mathematics at the beginning and end of their first year of school? Employing a mixed-methods case study approach, 78 students (boys = 39, girls = 39) from three Sydney schools participated. Using a child-friendly adaptation of the Who and Mathematics instrument (Leder & Forgasz, 2000), researchers assessed students' understanding of their mathematical identity. Findings revealed that both genders entered school confident in their mathematical capabilities, but by year-end, girls showed decreased confidence compared to boys. Additionally, girls shifted from seeing mathematics as important for their future careers to perceiving it as more significant for boys. These results highlight the early formation of stereotypically gendered beliefs about mathematical identity, emphasising the critical role of early education in shaping children's perceptions of mathematics.","2026-03","2026-03-20 23:53:30","2026-03-20 23:53:30","","135-159","","1","38","","","","","","","","","","","","","","WOS:001472147300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q56QWDZW","journalArticle","2026","Tong, DH; Nguyen, HT; Nguyen, TT; Le, TTT; Vo, XM; Triet, LVM; Dung, TM","Factors shaping teachers' beliefs about ICT use in mathematics teaching","CONTEMPORARY EDUCATIONAL TECHNOLOGY","","1309-517X","10.30935/cedtech/17893","","While information and communications technology (ICT) plays an increasingly pivotal role in transforming mathematics teaching and learning, the influence of teachers' beliefs often acts as either a bridge or a barrier between technological possibilities and actual classroom practices. This study was conducted to determine the factors that influence teachers' beliefs about incorporating ICT into mathematics teaching. Accordingly, a survey study with a quantitative analysis method using SPSS software was deployed through the use of questionnaires designed on the Likert scale (6 levels), with 422 secondary school teachers in 32 different provinces and cities in Vietnam participating in the feedback. The research findings indicate that self-efficacy beliefs and subjective norms from colleagues and students have a significant influence on secondary school teachers' beliefs about integrating ICT into mathematics teaching. In contrast, beliefs about ICT support and subjective norms from superiors have a minimal influence on these beliefs. Based on the achieved results and existing limitations, the study proposes directions for teacher training and educational management, as well as new research directions for the future.","2026-01","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","1","18","","","","","","","","","","","","","","WOS:001689914600002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JIEN7SX","journalArticle","2026","Nwoye, NM; Mosia, M; Egara, FO; Moloi, T; Basitere, M","Effects of demographic variables on mathematics self-esteem, test anxiety, and achievement in adolescents: a Bayesian beta regression analysis","FRONTIERS IN PSYCHOLOGY","","1664-1078","10.3389/fpsyg.2026.1712257","","Background Mathematics achievement is shaped not only by cognitive skills but also by psychological factors such as self-esteem and test anxiety. Demographic characteristics, including gender, age, and school location, may further moderate these relationships, yet limited research has explored these dynamics in diverse educational contexts. Situated in Nigeria, this study examined how mathematics self-esteem and test anxiety predict mathematics achievement among adolescents, while considering the moderating role of demographic variables.Methods A cross-sectional design was employed with data collected from 329 secondary school students. Validated instruments measured mathematics self-esteem, mathematics test anxiety, and mathematics achievement. Bayesian beta regression was used to analyse the relationships among psychological and demographic variables, offering a nuanced understanding beyond traditional statistical approaches.Results Findings revealed that mathematics self-esteem positively predicted achievement, while test anxiety was negatively associated with performance. Older male students reported lower self-esteem, rural students reported higher test anxiety, and rural students demonstrated higher achievement despite elevated anxiety. Two-way interaction effects involving gender, age, and location accounted for additional variance in mathematics self-esteem and achievement.Conclusion The results highlight the complex interplay between psychological and demographic variables in shaping mathematics outcomes. Strengthening students' self-esteem and addressing test anxiety are essential for promoting equitable learning environments. The findings underscore the importance of demographic context, pointing to the need for targeted interventions and policies that support resilience, reduce anxiety, and enhance adolescent mathematics achievement.","2026-02-04","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","","17","","","","","","","","","","","","","","WOS:001693012300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5C6ETJL","journalArticle","2026","Liu, YK; Wu, MH; Guo, JC; Huang, XC","School guidance support and growth in mathematics discourse feedback skills: a three-wave longitudinal mediation study","FRONTIERS IN PSYCHOLOGY","","1664-1078","10.3389/fpsyg.2025.1725689","","Introduction Feedback improves learning when students can interpret evaluative information, justify reasoning, monitor progress against explicit criteria, diagnose errors, and implement targeted revisions in classroom dialogue. This study tested whether school guidance support fosters growth in mathematics discourse feedback skills through motivational and behavioral mechanisms.Methods We used a three-wave longitudinal design with Chinese senior high school students. School guidance support was assessed at T1, major decision-making self-efficacy at T2, feedback literacy behavior at T3, and mathematics discourse feedback skills at all waves. Longitudinal measurement invariance was established for the outcome. Hypotheses were evaluated with structural equation modeling that controlled for prior levels of the outcome and demographic covariates. Missing data were handled with full-information maximum likelihood, and indirect effects were tested with bias-corrected bootstrapping.Results School guidance support predicted later mathematics discourse feedback skills both directly and indirectly. Indirect effects emerged via T2 major decision-making self-efficacy and via T3 feedback literacy behavior. A sequential pathway from T1 guidance support to T2 self-efficacy to T3 feedback literacy behavior, and in turn to T3 mathematics discourse feedback skills, was also supported. The pattern is consistent with a time-ordered mechanism linking contextual supports, agentic beliefs, feedback-using behaviors, and discipline-specific skills.Discussion Findings integrate social cognitive, feedback literacy, and self-regulated learning perspectives by specifying how school-level supports translate into domain-specific competencies. Practically, the results suggest a design principle for secondary schools: strengthen decision-making self-efficacy early, engineer routine opportunities to seek, interpret, and apply feedback, and then assess discourse-based reasoning and revision as proximal indicators of skill growth.","2026-01-07","2026-03-20 23:53:30","2026-03-20 23:53:30","","","","","16","","","","","","","","","","","","","","WOS:001665914300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYBUNITI","journalArticle","2025","Gan, Y; Yang, Y; Wu, YL; Li, HL; Zhang, YH","The effects of teacher persuasion on Chinese junior high school students' math self-efficacy: the multiple mediation of intrinsic value and math anxiety","CURRENT PSYCHOLOGY","","1046-1310","10.1007/s12144-025-07381-2","","Social cognitive theory suggests that social persuasion is essential in promoting self-efficacy. However, the existing research on the relationship between social persuasion and self-efficacy has been inconsistent. Moreover, there is still a limited understanding of the connection between teacher persuasion, students' math self-efficacy, and the underlying mechanisms. This study aimed to address these gaps by exploring the direct and indirect (multiple mediation of intrinsic value and math anxiety) effects of teacher persuasion on students' math self-efficacy. A total of 2590 Chinese junior high school students completed the questionnaires on teacher persuasion, intrinsic value, math anxiety, and math self-efficacy. The results indicated that boys gained more teacher persuasion and showed higher math self-efficacy. The structural equation model revealed the following results: (1) intrinsic value and math anxiety played a mediating role between teacher persuasion and math self-efficacy, respectively; (2) intrinsic value and math anxiety exerted multiple mediation effects between teacher persuasion and math self-efficacy; (3) intrinsic value is a crucial factor that mediates the relationship between teacher persuasion and self-efficacy in math. The study provides insights into the factors influencing math self-efficacy and suggests approaches for improvement.","2025-03","2026-03-20 23:53:30","2026-03-20 23:53:30","","3956-3968","","5","44","","","","","","","","","","","","","","WOS:001411717900001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
